[local] 3 -4 -4 0.72689 (best c=8.0, g=0.0625, p=0.0625, corr_coef=0.72689)
[local] 3 -4 -6 0.726911 (best c=8.0, g=0.0625, p=0.0625, corr_coef=0.72689)
[local] 3 -4 -2 0.726778 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -4 -7 0.726908 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -4 -3 0.726791 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -4 -5 0.726905 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -4 -1 0.727475 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -4 -8 0.726901 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -2 -4 0.809831 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -2 -6 0.809784 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -2 -2 0.810202 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -2 -7 0.809782 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -2 -3 0.80993 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -2 -5 0.809809 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -2 -1 0.810868 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -2 -8 0.809782 (best c=8.0, g=0.0625, p=0.25, corr_coef=0.726778)
[local] 3 -7 -4 0.66141 (best c=8.0, g=0.0078125, p=0.0625, corr_coef=0.66141)
[local] 3 -7 -6 0.661276 (best c=8.0, g=0.0078125, p=0.015625, corr_coef=0.661276)
[local] 3 -7 -2 0.661801 (best c=8.0, g=0.0078125, p=0.015625, corr_coef=0.661276)
[local] 3 -7 -7 0.661236 (best c=8.0, g=0.0078125, p=0.0078125, corr_coef=0.661236)
[local] 3 -7 -3 0.661614 (best c=8.0, g=0.0078125, p=0.0078125, corr_coef=0.661236)
[local] 3 -7 -5 0.661325 (best c=8.0, g=0.0078125, p=0.0078125, corr_coef=0.661236)
[local] 3 -7 -1 0.661978 (best c=8.0, g=0.0078125, p=0.0078125, corr_coef=0.661236)
[local] 3 -7 -8 0.661214 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -1 -4 0.839693 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -1 -6 0.839665 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -1 -2 0.840177 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -1 -7 0.839652 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -1 -3 0.839774 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -1 -5 0.839676 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -1 -1 0.840747 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -1 -8 0.83965 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -6 -4 0.673661 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -6 -6 0.673648 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -6 -2 0.673976 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
[local] 3 -6 -7 0.673625 (best c=8.0, g=0.0078125, p=0.00390625, corr_coef=0.661214)
